Timestamp,name, Standard, Superior, Junior Suite, Suite
2023-04-19 10:08:58,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 10:11:12,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 10:13:31,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 10:17:26,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 10:05:35,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-19 15:25:36,Intercontinental Geneve,"
€ 541
","
€ 663
","
€ 1,151
","
€ 7,146
"
2023-04-19 11:19:38,Intercontinental Geneve,"
€ 622
","
€ 744
","
€ 1,232
","
€ 7,227
"
2023-04-20 14:48:46,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-19 10:40:52,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 09:50:14,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-20 14:49:53,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-19 15:25:36,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 09:49:24,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 09:54:59,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-20 14:52:05,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-18 16:41:43,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-19 15:29:13,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-20 14:55:46,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-18 16:37:16,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-19 15:27:30,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 09:47:23,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 10:05:35,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-18 16:21:00,Mandarin Oriental,"
€ 803
","
€ 874
","
€ 1,078
","
€ 1,282
"
2023-04-19 10:13:31,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-20 14:41:21,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-19 10:08:58,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-20 13:54:41,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-20 10:34:46,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-20 13:53:52,Mandarin Oriental,"
€ 744
","
€ 800
","
€ 1,023
","
€ 1,277
"
2023-04-19 10:17:26,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 11:19:38,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-19 10:11:12,Mandarin Oriental,"
€ 775
","
€ 887
","
€ 1,207
","
€ 1,318
"
2023-04-18 16:41:43,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-19 15:25:36,Ritz Carlton Hotel de la Paix,"
€ 922
","
€ 1,075
","
€ 1,532
",0
2023-04-19 10:05:35,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-18 16:37:16,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-19 10:40:52,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-18 16:21:00,Ritz Carlton Hotel de la Paix,"
€ 925
","
€ 1,078
","
€ 1,537
","
€ 2,149
"
2023-04-19 10:17:26,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 14:55:46,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 10:13:31,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 14:52:05,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 09:47:23,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 14:49:53,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 10:11:12,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-19 09:49:24,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 14:48:46,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 15:29:13,Ritz Carlton Hotel de la Paix,"
€ 922
","
€ 1,075
","
€ 1,532
",0
2023-04-19 09:50:14,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-19 10:08:58,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 13:54:41,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 11:19:38,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-19 09:54:59,Ritz Carlton Hotel de la Paix,"
€ 922
",0,"
€ 1,532
",0
2023-04-20 14:41:21,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-19 15:27:30,Ritz Carlton Hotel de la Paix,"
€ 922
","
€ 1,075
","
€ 1,532
",0
2023-04-20 13:53:52,Ritz Carlton Hotel de la Paix,"
€ 901
","
€ 1,054
","
€ 1,511
",0
2023-04-20 10:34:46,Ritz Carlton Hotel de la Paix,"
€ 927
","
€ 1,079
","
€ 1,536
",0
